group,family,size,direction,depth,materialization,mode,implementation,samples,completed,timeouts,failures,planned_answers,definitive_answers,unknown_answers,resource_answers,facts_min,facts_max,definitive_coverage,wall_ms_q25,wall_ms_median,wall_ms_q75,peak_rss_kib_q25,peak_rss_kib_median,peak_rss_kib_q75,load_ms_q25,load_ms_median,load_ms_q75,query_ms_q25,query_ms_median,query_ms_q75,certificate_ms_q25,certificate_ms_median,certificate_ms_q75,withdrawal_ms_q25,withdrawal_ms_median,withdrawal_ms_q75,reassertion_ms_q25,reassertion_ms_median,reassertion_ms_q75,reopen_ms_q25,reopen_ms_median,reopen_ms_q75,bytes_q25,bytes_median,bytes_q75,steps_q25,steps_median,steps_q75,validation_ms_q25,validation_ms_median,validation_ms_q75,serialization_ms_q25,serialization_ms_median,serialization_ms_q75
comparison,chain,12,forward,10,True,verdict,nibli,15,0,15,0,15,0,0,0,12,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,12,forward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,12,12,1.0,4.5488145005947445,4.6206719998735934,4.919212499771675,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,16,backward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,16,16,1.0,4.488921498705167,4.66666099964641,4.914164001093013,7884.0,7884.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,16,backward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,16,16,1.0,201.9654809992062,204.71961699877284,234.19809299957706,5796.0,5796.0,5796.0,1.183489,1.218793,1.291156,196.910462,199.67862,228.57697299999998,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,16,backward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,16,16,1.0,4.359670001576887,4.670022000937024,4.828750001252047,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,16,forward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,16,16,1.0,4.672840999774053,5.381689999921946,6.188012000166054,7884.0,7884.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,16,forward,10,True,verdict,nibli,15,0,15,0,15,0,0,0,16,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,16,forward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,16,16,1.0,4.672974999266444,5.050320000009378,5.470851500831486,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,32,backward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,32,32,1.0,5.211431000134326,5.526165998162469,5.926816500505083,7884.0,7884.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,32,backward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,32,32,1.0,1644.003289500688,1661.3767220005684,1666.449588499745,9308.0,9324.0,9324.0,3.28665,3.374086,3.7473245,1633.9741334999999,1651.9401460000001,1657.6086959999998,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,32,backward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,32,32,1.0,4.885231999651296,5.116089996590745,5.248722498436109,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,32,forward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,32,32,1.0,5.365444500057492,5.499226999745588,5.8855709994531935,7884.0,7884.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,32,forward,10,True,verdict,nibli,15,0,15,0,15,0,0,0,32,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
